1,1970,27,8,46,132,465,900,2001,8542
1,1971,0,1,4,31,39,79,271,3115
1,1972,64,53,16,75,90,162,217,2003
1,1973,321,17,9,63,52,201,341,2697
1,1974,2,2,2,6,5,9,19,140
1,1975,52,0,8,0,0,15,55,1932
1,1976,0,0,0,0,0,15,17,2096
1,1977,27,0,4,0,64,117,152,2463
1,1978,0,0,0,10,34,167,195,1790
1,1979,0,0,81,176,226,343,556,2337
1,1980,232,0,39,126,483,270,254,2814
1,1981,0,0,174,831,1271,1713,570,2401
1,1982,0,3,162,565,2069,2044,2170,8323
1,1983,0,0,1,2,2,291,529,9209
1,1984,0,84,139,177,616,1231,3140,11774
1,1985,70,481,263,651,537,541,720,7958
1,1986,15434,0,0,48,171,139,229,4871
1,1987,3,0,10,125,317,290,447,5586
1,1988,284,59,188,859,990,819,745,11631
1,1989,238,31,253,1062,1684,1912,1419,6159
1,1990,0,40,706,1527,3371,5075,6426,8741
1,1991,6805,1641,1774,2361,1113,1446,2340,7068
1,1992,254,78,316,984,2022,1482,1434,5296
1,1993,56,9,25,99,164,420,894,7016
1,1994,3203,76,1740,2947,1606,795,802,7259
1,1995,2,7,98,42,89,279,1080,5179
1,1996,5,108,273,235,258,287,664,7287
1,1997,30,465,2092,2347,1491,2390,2607,15078
1,1998,2,42,298,1072,1490,1755,2953,12081
1,1999,9,30,104,496,659,1198,1310,12132
1,2000,0,72,602,649,1225,2382,2904,11961
1,2001,0,449,1180,1624,1987,3159,4414,14184
1,2002,0,6,77,201,599,1711,2364,13815
1,2003,0,5,255,564,654,1576,3363,7289
1,2004,0,0,62,164,182,451,1700,8912
1,2005,13,3,60,252,668,1340,1438,10953
1,2006,0,131,434,2054,2259,2779,1884,8298
1,2007,0,216,713,3336,3341,3616,2449,9845
1,2008,1,2,73,147,362,1046,2477,13275
1,2009,0,24,461,653,629,1520,2295,12506
1,2010,2,5,56,271,902,1334,2579,8767
1,2011,0,10,20,43,86,291,703,9001
1,2012,0,3,160,704,146,446,1145,9389
1,2013,18,3,23,62,386,1092,731,10405
2,1970,0,0,1.8,3.8,6.8,33.7,30.3,48.2
2,1971,0,0,0,21.6,83.4,45.6,97.4,307.8
2,1972,4.6,1.2,1.8,6.6,13.2,64.1,160.7,502.4
2,1973,0,5,5,10.2,5,76.3,66.3,1212.4
2,1974,11.7,74,58.7,121,64.2,746.7,692.4,13121.3
2,1975,76.5,138.9,89.2,131.4,142,305.6,398,14833
2,1976,32.7,62.9,259.7,232.9,203.8,213.9,232.3,9119.8
2,1977,47.9,38.9,33,181.8,388.2,975,1536.4,6270.2
2,1978,12.4,62,142.6,155,65.2,49.6,21.4,1730.6
2,1979,29.2,57.3,70.7,876.8,855.6,2072.4,1282.1,339.3
2,1980,70.5,38.4,82.9,146.2,258.6,485.7,504,2294.3
2,1981,11,3.5,11.5,56,137,388,325,1674
2,1982,4.4,37,14,57.1,398.2,4257.7,37,10954.2
2,1983,190,284,886.5,1123.5,1717,2101,1664.5,9448.5
2,1984,20,134,284.5,494.5,784,1677.5,3055,5657.5
2,1985,157.5,116,290.5,313.5,485,437.5,406,5478.5
2,1986,36.4,83.1,231.4,233.9,232.8,320.2,397.4,3989
